Cars,Power,Car type,Started,End year (2018 if still present)
Bugatti Veyron Super Sport,1200,Coupe,2010,2015
Bugatti Veyron 16.4,1001,Coupe,2005,2011
Bugatti Veyron Grand Sport,1001,Coupe,2009,2015
Ferrari SF90 Stradale,1000,Coupe,2020,2018
Ferrari LaFerrari,963,Coupe,2013,2015
Porsche 918 Spyder,887,Convertible,2014,2016
Porsche Taycan Turbo S,761,Hatchback,2019,2018
Lamborghini Aventador LP750-4 SV,750,Coupe,2016,2017
Lamborghini Aventador Roadster LP750-4 SV,750,Convertible,2016,2017
Ferrari 812 Superfast,740,Coupe,2017,2018
Ferrari 812 GTS,740,Coupe,2020,2018
Ferrari F12 Berlinetta,740,Coupe,2012,2017
Ferrari F12 Berlinetta HELE,740,Coupe,2012,2015
Aston Martin DBS 5.2 V12 Superleggera,725,Coupe,2019,2018
Aston Martin DBS Volante 5.2 V12 Superleggera,725,Convertible,2020,2018
Mclaren 720S,720,Coupe,2017,2018
Ferrari F8 Spider,720,Convertible,2020,2018
Ferrari F8 Tributo,720,Coupe,2020,2018
Bentley Continental GT W12 Supersports,710,Coupe,2017,2018
Bentley Continental GT Convertible W12 Supersports,710,Convertible,2017,2019
Jeep Grand Cherokee 6.4 V8 Trackhawk,710,SUV,2019,2019
